location_id,latitude,longitude,zone_area_km2,pvout_level1_area_km2,pvout_level1_data_area_km2,pvout_level1_mean,pvout_level1_twh_per_mw_km2,pvout_level1_twh_y,pvout_level2_area_km2,pvout_level2_data_area_km2,pvout_level2_mean,pvout_level2_twh_per_mw_km2,pvout_level2_twh_y,assumed_mw_per_km2
4228,0.210712,-71.455070,31457.383036,373.452641,373.452641,3.797477,0.517635,15.529047,299.611114,299.611114,3.783621,0.413769,12.413083,30.000000
1463,8.731017,-75.612389,33248.650409,28923.270234,28923.270234,4.119379,43.488257,1304.647710,14292.281335,14292.281335,4.165263,21.728855,651.865662,30.000000
516,5.115901,-66.113014,32369.154228,1766.602333,1766.602333,4.490164,2.895302,86.859054,1705.073514,1705.073514,4.492431,2.795873,83.876179,30.000000
2715,4.635927,-67.863624,33129.300578,5493.009396,5493.009396,4.113907,8.248171,247.445141,4106.550255,4106.550255,4.110370,6.160997,184.829899,30.000000
567,-10.829780,-73.657325,34474.145696,1271.124039,1271.124039,3.666994,1.701339,51.040185,839.374910,839.374910,3.811537,1.167748,35.032428,30.000000
3942,-9.848733,-76.231368,33274.712755,5997.150636,5997.150636,4.222476,9.242830,277.284902,5733.287591,5733.287591,4.225109,8.841674,265.250208,30.000000
3059,-12.063631,-74.900410,38682.283882,11942.065608,11942.065608,4.782583,20.846583,625.397476,10878.606281,10878.606281,4.783041,18.991978,569.759328,30.000000
1633,-8.902160,-75.094965,38827.430548,6373.959982,6373.959982,3.975873,9.249850,277.495488,6074.360269,6074.360269,3.975517,8.814284,264.428524,30.000000
4718,-12.107113,-73.110257,23713.621376,1018.835799,1018.835799,3.625092,1.348081,40.442444,635.024472,635.024472,3.815132,0.884286,26.528587,30.000000
3406,-8.871652,-73.295379,37510.750247,532.980151,532.980151,4.021054,0.782247,23.467402,436.277376,436.277376,4.024381,0.640847,19.225423,30.000000
4833,-10.156565,-72.536062,22984.108831,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,30.000000
3132,-11.209542,-71.782031,28519.832421,0.839988,0.839988,3.801000,0.001165,0.034961,0.000000,0.000000,,0.000000,0.000000,30.000000
2663,-15.641295,-67.440420,42710.181730,3159.702069,3159.702069,4.060574,4.683024,140.490734,3156.399316,3156.399316,4.060706,4.678282,140.348457,30.000000
1231,-15.186860,-69.289146,35549.261408,14886.222669,14886.222669,5.201566,28.262562,847.876858,14348.212995,14348.212995,5.186301,27.161167,814.835024,30.000000
2744,-13.414640,-68.920571,38641.350746,964.438766,964.438766,4.022393,1.415963,42.478899,948.541280,948.541280,4.025040,1.393539,41.806184,30.000000
401,-13.313491,-67.096125,36621.869868,8995.848629,8995.848629,4.188358,13.752410,412.572313,7745.891691,7745.891691,4.188993,11.843333,355.299995,30.000000
3511,-13.875641,-65.603104,36289.574528,10957.443297,10957.443297,4.208197,16.830544,504.916330,10947.463141,10947.463141,4.208189,16.815184,504.455510,30.000000
1199,-13.197386,-64.108141,38709.295842,14987.941417,14987.941417,4.201026,22.982126,689.463790,14496.090634,14496.090634,4.201183,22.228767,666.863006,30.000000
1213,-13.197692,-53.723107,33299.515797,8963.326815,8963.326815,4.531722,14.826046,444.781367,7754.162795,7754.162795,4.532375,12.827842,384.835257,30.000000
2105,-14.489416,-55.426256,32916.303029,21892.626821,21892.626821,4.430940,35.406791,1062.203720,14170.777413,14170.777413,4.427791,22.902015,687.060461,30.000000
3390,-8.216791,-56.465769,39679.244390,6.816265,6.816265,4.170500,0.010376,0.311278,0.000000,0.000000,,0.000000,0.000000,30.000000
3863,-27.587190,-61.718717,34704.215302,29818.483806,29818.483806,4.383562,47.709581,1431.287422,17900.646595,17900.646595,4.377823,28.603539,858.106164,30.000000
1559,-16.704397,-57.518553,31426.767441,11351.361159,11351.361159,4.333368,17.954213,538.626388,9516.102659,9516.102659,4.333545,15.052039,451.561161,30.000000
3965,-15.801576,-56.216074,28600.111640,25259.697341,25259.697341,4.349817,40.104398,1203.131954,21007.204078,21007.204078,4.350317,33.356621,1000.698638,30.000000
954,-30.093033,-60.132645,34153.516052,28979.618380,28979.618380,4.446115,47.029049,1410.871468,23497.238437,23497.238437,4.445133,38.123652,1143.709556,30.000000
4509,-10.889880,-41.874959,25206.701014,24512.542566,24512.542566,4.751519,42.512213,1275.366395,17564.100585,17564.100585,4.749409,30.447970,913.439107,30.000000
2748,-15.723240,-41.637379,41087.939923,36309.855394,36309.855394,4.183443,55.443573,1663.307180,32682.677649,32682.677649,4.177149,49.829957,1494.898696,30.000000
1758,-21.742186,-47.734861,30220.095907,29284.040901,29284.040901,4.488154,47.972420,1439.172601,15749.790781,15749.790781,4.480463,25.756721,772.701619,30.000000
4198,-19.005638,-41.126515,29089.238900,23647.499014,23647.499014,3.947489,34.072112,1022.163346,20537.215198,20537.215198,3.944355,29.567215,887.016440,30.000000
419,-17.602933,-41.017018,35224.071159,31795.369043,31795.369043,3.974808,46.128882,1383.866474,28541.956405,28541.956405,3.975745,41.418568,1242.557043,30.000000
3673,-16.653362,-42.887186,32660.417275,30784.717222,30784.717222,4.371512,49.120148,1473.604436,26467.520760,26467.520760,4.339361,41.921028,1257.630835,30.000000
4827,-20.488152,-47.287535,24911.069690,24220.980316,24220.980316,4.516883,39.932214,1197.966420,13860.250004,13860.250004,4.508850,22.810232,684.306965,30.000000
4456,-22.094420,-46.324401,31516.321364,28002.583454,28002.583454,4.388126,44.850784,1345.523515,17459.494034,17459.494034,4.387852,27.962530,838.875891,30.000000
4239,-21.475972,-43.253692,30836.391975,27759.330204,27759.330204,4.054628,41.082119,1232.463572,26143.253567,26143.253567,4.052629,38.671350,1160.140507,30.000000
4608,-23.018982,-43.591122,16442.026792,6950.143476,6950.143476,3.978190,10.091882,302.756461,6360.722557,6360.722557,3.978225,9.236100,277.083013,30.000000
188,-22.816632,-42.168305,12809.177312,7869.306712,7869.306712,4.002285,11.495750,344.872487,6198.731031,6198.731031,4.008264,9.068844,272.065335,30.000000
3848,-21.631498,-41.044778,19790.169693,15809.009346,15809.009346,4.094205,23.624745,708.742347,12592.983775,12592.983775,4.086078,18.781410,563.442287,30.000000
724,-25.818351,-50.301577,47708.629510,27910.084688,27910.084688,3.926015,39.995026,1199.850788,17616.363528,17616.363528,3.893985,25.038215,751.146442,30.000000
