location_id,latitude,longitude,population_2020,access_pct,people_no_access
1557,32.609539,9.820614,287849.36177015305,60.006167298555376,115122
4680,33.875966,10.924864,709132.1891505271,76.55494608197894,166256
2764,32.879781,7.656793,537289.5326991081,83.33333333333333,89548
590,34.692067,8.161384,1819712.3469657896,71.34592513243358,521422
96,32.572136,12.741726,2450729.56715256,95.23874781681941,116685
1737,30.705769,14.713338,420242.4953393936,,0
1341,27.636208,7.930125,8432.615838050842,,0
379,31.717752,21.547005,689458.333032608,,0
4846,31.607108,19.958222,549373.6746701598,100.0,0
4704,32.770045,22.466896,131791.8783841133,100.0,0
4083,30.435707,20.57625,92186.95390479267,,0
2851,29.483926,21.806877,42702.48323440552,,0
2571,31.913343,23.757782,87828.07019090652,65.44357299804688,30350
1549,29.997678,23.721605,94392.99051086056,,0
1306,29.640226,-4.475244,13806.138505458832,,0
2064,30.937225,-2.59309,235321.96857225895,71.08455912272136,68044
3478,31.280803,-4.432144,547307.1588075161,,0
4454,29.079158,-2.875093,11126.416476488112,,0
3045,29.767256,-6.452357,295780.0283139944,,0
3700,28.21152,-5.116538,2088.0311983823776,,0
2039,27.744326,-3.456865,9819.375799298286,,0
4390,23.29261,12.896744,5480.390641927719,,0
4437,23.315587,14.571656,8285.645875692368,,0
3821,25.161858,18.513196,12166.663588523865,,0
1946,25.084288,16.835298,11510.170403957369,,0
253,27.007805,18.038528,18528.799505233765,,0
2728,27.252107,20.023008,30497.30047416687,,0
1480,25.321253,20.143408,4618.3008460998535,,0
729,23.10948,18.397265,12393.55770611763,,0
4912,23.82522,16.60446,10231.107026576996,,0
2568,25.952097,23.05335,5498.980325460434,,0
3993,26.200502,21.41928,4590.392421007156,,0
758,27.620411,22.192461,42584.34428215027,,0
1399,25.480527,25.156144,2180.5045511722565,,0
2403,27.754936,24.34544,47383.69422721862,,0
4301,24.258208,24.152234,4312.778607130051,,0
447,23.973361,22.653826,4448.439277887344,,0
4760,24.786359,21.54244,3511.9767265319824,,0
3013,21.727189,31.62123,28114.14308440988,,0
896,21.022007,29.869109,11105.333188761026,,0
4249,19.627355,29.787936,113080.76273918152,,0
2405,18.009163,29.517906,83803.10474586487,,0
4551,19.560313,33.124862,113060.99474954604,,0
2297,18.308448,33.618342,352112.863986969,,0
1619,19.2032,35.483755,250856.43384552,,0
3931,20.629235,35.146599,91943.31527709961,,0
898,20.883403,33.554726,108076.37700843812,,0
2546,19.755044,31.297793,167726.56620693207,,0
322,17.782425,31.634285,309059.1569042206,,0
4793,9.667952,27.126386,723272.8639507295,,0
1687,9.737073,28.526043,606346.847114563,,0
786,16.718438,28.020053,94633.17916870117,,0
3347,16.189797,29.732758,159209.5830039978,,0
4986,3.055229,21.437355,970266.8822326661,8.137068612234932,891316
1125,1.748327,22.566563,985444.8134613037,,0
3146,3.736371,22.507666,587412.6933174133,6.10152006149292,551572
2503,2.125248,20.554962,1331809.670349121,0.0,1331810
123,4.23793,20.930796,1061216.4267997742,1.0318976640701294,1050266
1505,-1.933999,18.703231,493213.40262913704,,0
4090,-2.252304,16.879498,657099.5199867487,48.20772933959961,340327
4948,-0.8079089999999999,19.475637,410324.19034576416,,0
4997,-2.361894,19.894589,225185.1075515747,,0
2893,-3.653871,18.857229,937547.5845413208,7.121823628743489,870777
4796,0.932185,18.564865,383556.1147384643,,0
4088,2.120225,19.125954,1029353.0678710938,10.473994076251984,921539
2063,3.621919,18.884516,2983336.689338684,46.010608586398035,1610685
3954,45.033764,26.614474,13060262.641677856,,0
484,46.762338,27.508058,2981171.688796997,,0
1626,44.485315,28.592612,2375833.2743933275,,0
3199,43.298479,26.796391,7340699.47781372,,0
4040,40.167091,24.328229,232037.63498934067,,0
1701,39.285387,26.394665,759126.440476656,,0
2439,37.91649,23.794613,4112058.1994628552,,0
4395,41.14029,25.753763,1139535.5737034976,,0
986,44.25013,24.681791,2907718.1019477844,,0
4067,36.705117,43.844737,5422818.613804936,100.0,0
2069,39.168791,42.29506,1097455.979845442,,0
1768,38.100414,44.574858,1955564.1772078576,,0
641,36.899648,42.073884,5080000.780578613,78.06300354003906,1114400
1842,35.160965,43.948995,3473027.8087615967,99.99705963134765,102
2961,36.866926,46.06041,3369847.2055669427,,0
4590,38.427809,33.549215,1050113.7898465467,,0
3745,36.569973,32.409193,776130.209176898,,0
2761,39.156302,40.012022,1181515.5050008297,,0
4464,38.064425,41.203672,2162363.8333129883,,0
3450,37.729586,36.687153,3747959.803102016,,0
1028,39.119415,37.718247,820572.1295776368,,0
2934,38.946712,35.422085,2038784.345664978,,0
1729,47.066712,35.654754,2047688.9310225565,,0
3071,46.594269,33.10507,1758335.3979407158,,0
688,48.525061,32.979514,2096729.3968501687,,0
4621,49.778064,34.723491,1550200.0301225183,,0
4165,45.251723,35.82615,381285.53869370365,,0
212,44.674625,33.99287,1667333.9523916245,,0
4051,46.322303,38.428086,1226183.720769921,,0
2622,48.850707,36.172199,2300232.530517578,,0
1042,50.765635,36.585072,3406207.9295806885,,0
548,47.715901,38.931409,4173967.818531037,,0
1718,47.809303,42.374122,518454.3823003397,,0
2524,46.247719,40.581701,1010944.5690155028,,0
2739,59.165768,31.986306,559636.3611303568,,0
4352,60.426506,30.890722,5641555.460514471,,0
856,59.593235,28.590683,762408.2145983134,,0
978,55.472325,29.587105,1021250.7044277192,,0
2903,53.774362,29.070572,3753904.2932395935,,0
3026,54.06838,32.482859,886889.9940910339,,0
3064,56.902412,31.222473,249972.28929561377,,0
4433,56.338502,26.614222,620260.0392310023,,0
1984,57.490784,27.946868,583577.0893860385,,0
4503,58.280424,30.002829,345562.0785346031,,0
4206,56.483167,35.473316,975555.9611968994,,0
2321,55.687971,33.297914,352141.63995814323,,0
409,57.678489,34.112454,325237.16785907745,,0
997,54.446519,35.919109,1358063.0603141785,,0
3564,59.278039,35.229175,173364.52875471115,,0
2445,57.295284,37.669635,696596.763781704,,0
3464,55.729206,37.730826,20367168.842681885,,0
4771,65.093534,62.378748,50619.131627082825,,0
3833,66.95268,61.696823,39502.14831447601,,0
1140,66.274746,65.499005,32318.961580462754,,0
1618,65.737449,59.586526,35725.31509184837,,0
4035,64.057964,59.248708,55614.495052099235,,0
3805,59.306593,64.768433,65114.33529621363,,0
4979,60.521122,62.070593,38071.795445317875,,0
2737,61.817376,61.428802,78104.78211688995,,0
4819,55.515701,23.795684,936113.4622802734,,0
350,56.78402,24.216599,1520065.948662281,,0
2387,55.728112,21.339643,762795.0051857233,,0
3501,54.1943,23.646503,1313981.3994636536,,0
2238,55.039536,25.907275,1271296.266429782,,0
2469,50.852559,25.789589,2651580.623352051,,0
3570,48.303705,27.397467,2762340.4088897705,,0
1999,48.788205,24.976513,4666596.799438477,,0
3510,46.093563,25.190508,2228768.3839645386,,0
2915,49.987611,19.809634,8578497.688179016,,0
999,50.992799,17.613465,4628536.930873871,,0
2536,51.856404,20.230472,7370775.886108398,,0
2685,49.20168,17.439975,5341120.323749229,,0
369,50.399741,22.542535,4894556.1357421875,,0
2603,51.919507,15.089908,2953469.9664001465,,0
3043,53.285575,12.546029,5834598.023046119,,0
1993,53.081787,9.593009,10300625.14258945,,0
1037,48.013193,19.537176,5430069.518894613,,0
2974,48.570923,21.953597,3761034.8219079375,,0
1285,46.978392,23.329204,2612157.026626587,,0
4350,67.398554,24.877787,56683.48277914524,,0
3490,66.820138,28.137857,55999.73093649745,,0
3395,63.288201,29.569322,204932.99158884585,,0
1941,64.884567,29.310762,91108.05107037725,,0
2010,61.713061,29.844245,320051.51031837985,,0
4000,65.483138,32.477437,25474.86612017313,,0
926,63.575045,33.26055,57444.0796501562,,0
3888,62.112798,32.847299,69436.20643871091,,0
4765,64.847561,14.326265,34132.42108470574,,0
1493,64.471292,11.353196,153498.631936979,,0
3649,66.05922,12.832434,57619.66943071375,,0
891,62.633097,15.512662,143999.05015920103,,0
3393,64.125553,16.83115,99619.03235492125,,0
3126,61.124067,13.603402,78570.74798411131,,0
452,65.951675,16.572505,28111.76553939935,,0
1163,68.803781,14.98173,60913.903013061725,,0
3782,16.244612,102.810962,4311545.3062438965,88.36898867289226,501476
2790,17.007192,101.45427,2194003.313632965,84.98021808423493,329535
2198,18.872518,105.54614,5447256.002122849,57.348112644687774,2323357
4538,16.894451,104.803096,2470055.857488632,78.70120937174016,526092
74,16.812187,106.878854,2257130.505728185,76.3020661395529,534893
3681,18.602015,108.746883,2600116.3292245865,,0
722,18.698848,110.343804,3079351.998413086,,0
1593,21.844435,112.352509,9548557.224255532,,0
