location_id,latitude,longitude,annual_demand_kwh
2245,-27.031814575195312,17.488300323486328,341420320
4221,-28.383810043334961,18.026603698730469,470802848
808,-21.443082809448242,19.656272888183594,360958752
3191,21.22905158996582,71.438095092773438,5690615296
257,2.7093079090118408,46.087215423583984,0
995,18.777952194213867,93.671211242675781,47058504
1769,18.044561386108398,73.087318420410156,13869151232
4872,-1.0280129909515381,102.40868377685547,982436736
164,-1.8759429454803467,100.87827301025391,384250048
3618,-0.34660699963569641,100.03822326660156,1245357824
938,-4.3466501235961914,102.99840545654297,849809408
3240,-3.079524040222168,101.9652099609375,604304640
3268,-6.4527440071105957,107.56976318359375,14264936448
287,-5.9894518852233887,106.01560974121094,6077271040
2682,8.7815771102905273,98.64007568359375,3018246144
3751,1.2571959495544434,98.960281372070312,408590496
3133,15.533032417297363,49.69549560546875,736289664
1221,17.191818237304688,48.82232666015625,134262352
3041,15.834643363952637,47.759014129638672,427724960
1172,15.255849838256836,51.389633178710938,60987564
1509,17.296688079833984,53.829597473144531,1000307136
101,18.162410736083984,56.300422668457031,375950656
2558,19.065738677978516,54.356548309326172,254894416
547,18.489873886108398,51.485271453857422,255961120
4615,18.464607238769531,53.033218383789062,123280896
2839,16.934116363525391,50.627487182617188,136497136
3345,16.711311340332031,52.275920867919922,125507040
4354,24.102329254150391,53.0240478515625,6573222912
3766,23.893417358398438,50.862857818603516,1561248128
2706,22.672704696655273,54.416385650634766,5752347648
1286,13.443814277648926,45.617027282714844,334653824
3756,14.241591453552246,47.004146575927734,195378352
433,14.300876617431641,48.550117492675781,230606240
4483,18.053010940551758,47.446159362792969,1111299200
3623,20.743139266967773,46.750728607177734,674131712
2019,-2.4120819568634033,40.530830383300781,164579680
166,19.209690093994141,46.709861755371094,490078784
4181,13.66745662689209,43.900104522705078,305626432
3825,14.840841293334961,45.105010986328125,390063328
2994,12.277579307556152,41.440517425537109,209850144
3610,12.739184379577637,39.243984222412109,262455664
1956,11.005358695983887,39.36199951171875,272262272
2313,7.0725688934326172,38.034255981445312,249814656
4856,8.2594633102416992,38.529747009277344,207662768
1731,-5.4757680892944336,37.041950225830078,338254976
3200,-5.3382091522216797,38.679256439208984,224488128
4226,-3.8534519672393799,39.76885986328125,332897344
396,-6.936647891998291,39.346710205078125,611498048
2680,-7.7123241424560547,37.627414703369141,421870912
899,-2.3971049785614014,13.694181442260742,460072512
459,22.067895889282227,59.66082763671875,496639136
2854,33.423847198486328,46.090305328369141,1758494592
3383,34.002941131591797,48.018516540527344,4339901952
1328,25.332607269287109,51.315673828125,11202482176
781,34.634761810302734,54.644142150878906,691689664
1867,33.009479522705078,56.449863433837891,908537024
796,27.812919616699219,57.178291320800781,2910669824
3389,29.388938903808594,57.322647094726562,2379025920
2097,26.888898849487305,55.110191345214844,2454810880
2009,28.946987152099609,54.942874908447266,2882171904
4135,26.699974060058594,59.638378143310547,695513664
4594,26.361972808837891,57.226230621337891,298115712
1603,25.705219268798828,58.510509490966797,270557344
2724,28.125244140625,59.166889190673828,1240493312
2740,32.037376403808594,49.727264404296875,8101599744
1642,37.373123168945312,54.824909210205078,3089396992
3284,35.998771667480469,55.870624542236328,911661312
2155,34.880519866943359,57.390003204345703,1234165760
479,51.380035400390625,48.950092315673828,1188832640
599,81.114662170410156,90.184852600097656,0
2158,-85.03863525390625,-91.71051025390625,0
2431,-80.149360656738281,-85.606529235839844,0
2056,-81.936920166015625,-92.251205444335938,0
4970,-83.787117004394531,-93.906776428222656,0
705,-83.32342529296875,-104.66893005371094,0
4605,-86.7471923828125,-112.24979400634766,0
1165,-78.621055603027344,-78.395072937011719,0
1875,-82.354263305664062,-61.743282318115234,0
3829,-64.093009948730469,-58.128253936767578,0
1290,-53.628196716308594,-73.202789306640625,201552864
4630,-74.685440063476562,-110.51587677001953,0
3677,-75.362075805664062,-103.99710845947266,0
482,-76.872177124023438,-104.61257934570312,0
1542,-78.908393859863281,-111.54537200927734,0
2203,-76.026351928710938,-112.37099456787109,0
1006,-73.962852478027344,-114.61732482910156,0
4296,-79.827850341796875,-105.58509063720703,0
2846,-73.881050109863281,-102.35209655761719,0
214,-72.130607604980469,-99.764633178710938,0
4219,-80.210823059082031,-76.548973083496094,0
1100,-73.7489013671875,-74.927085876464844,0
3539,-72.359512329101562,-72.57061767578125,0
72,-70.593063354492188,-74.917068481445312,0
2004,-73.818923950195312,-82.521156311035156,0
2394,-75.644607543945312,-75.889678955078125,0
4458,-6.9900851249694824,112.78197479248047,6607917568
156,16.244289398193359,95.652328491210938,196385600
3235,-70.896995544433594,123.18292999267578,0
1072,-72.343948364257812,126.58359527587891,0
3087,-70.667747497558594,128.50299072265625,0
494,-66.393508911132812,125.78277587890625,0
1288,-67.893898010253906,118.76495361328125,0
187,-66.035491943359375,113.54119110107422,0
3358,-67.91326904296875,123.61466979980469,0
1175,-69.328407287597656,125.59657287597656,0
4915,-67.602241516113281,126.88519287109375,0
2024,-68.019737243652344,130.12942504882812,0
992,-69.102134704589844,110.44846343994141,0
4582,-70.577713012695312,112.96152496337891,0
1627,-71.46966552734375,109.32325744628906,0
3841,-69.947746276855469,106.30638885498047,0
2770,-67.842918395996094,113.82881164550781,0
4572,-67.659423828125,110.34389495849609,0
388,-81.228378295898438,122.98358154296875,0
1301,-21.428396224975586,167.92575073242188,0
763,36.444721221923828,116.44662475585938,85271052288
902,45.021835327148438,123.21226501464844,8336531968
1554,44.836223602294922,119.73307800292969,5997778432
3947,45.817951202392578,117.83580017089844,4357897216
3289,43.534065246582031,118.28414154052734,9544818688
4033,44.130214691162109,121.62679290771484,8679957504
3258,46.450759887695312,120.04568481445312,3063955456
263,48.036529541015625,120.50516510009766,2772155392
4787,49.306270599365234,120.12099456787109,12451827712
1450,34.993705749511719,111.92655944824219,59937161216
2547,49.308303833007812,144.02694702148438,296664064
4308,45.041786193847656,141.7449951171875,3997805568
2027,44.256065368652344,143.34825134277344,24737765376
626,42.850448608398438,141.18952941894531,61986439168
4245,39.973159790039062,141.68849182128906,17730729984
38,38.511501312255859,141.44564819335938,32899596288
4811,41.32550048828125,141.40055847167969,11356079104
3086,42.487575531005859,143.40406799316406,14050454528
4004,43.121341705322266,145.17372131347656,5001406976
1333,7.0881447792053223,13.026594161987305,367629952
2005,-22.531848907470703,17.183818817138672,667220352
4451,-23.599031448364258,16.053300857543945,222709248
1345,-23.525157928466797,14.576259613037109,206071072
3576,-17.564748764038086,-39.400432586669922,1230909696
3941,58.999038696289062,-3.0742950439453125,148467008
1355,57.586746215820312,-2.27789306640625,6690703360
2168,52.295623779296875,-7.0713138580322266,10836747264
3232,63.15155029296875,-117.78456115722656,738636160
2052,66.108589172363281,-121.55406951904297,738969344
3484,67.59002685546875,-118.82810211181641,712934144
4574,68.306159973144531,-121.83615112304688,639841920
2941,64.770164489746094,-117.53663635253906,758194432
749,67.758163452148438,-125.08204650878906,883254912
2776,63.647335052490234,-125.04334259033203,798963200
2631,66.135902404785156,-127.15959167480469,1392094080
3961,65.050453186035156,-124.16801452636719,783047040
1015,64.029800415039062,-121.11177062988281,871385472
3920,53.631950378417969,-132.16017150878906,145099216
3551,60.335910797119141,-124.91271209716797,744359744
1240,61.884262084960938,-125.15069580078125,678787328
4217,61.037609100341797,-127.49462127685547,716693376
2532,62.011318206787109,-121.23210906982422,1062202304
18,66.399383544921875,-116.23983001708984,925940352
252,59.080612182617188,-126.70713806152344,786634176
1548,21.147085189819336,-156.84541320800781,4727970816
1141,57.223644256591797,-153.87625122070312,420857280
4105,61.873401641845703,-151.73870849609375,898657152
378,59.707855224609375,-150.84934997558594,2731827456
794,63.284011840820312,-151.31553649902344,1227165824
387,66.751457214355469,-147.60494995117188,1071263808
2849,68.557823181152344,-148.20640563964844,6914575360
4449,67.837310791015625,-144.82206726074219,1266082560
2412,65.160919189453125,-150.18124389648438,1705727488
